group_type,group_name,metric,count,min,max,median,mean,std,q25,q75
Overall,All_Cells,nCount_RNA,111581,255.0,31966.0,7729.0,8643.6752,4223.8862,5743.0,10501.0
Overall,All_Cells,nFeature_RNA,111581,202.0,7498.0,3449.0,3568.5805,1113.9549,2792.0,4217.0
Overall,All_Cells,percent.mt,111581,0.0,9.997506856145598,2.7651944129860326,3.1662,1.8548,1.7271765949947129,4.239833641404807
Sample (orig.ident),Sample_A_WT,nCount_RNA,2463,1283.0,31257.0,9923.0,10940.0613,5082.4996,7338.5,13256.5
Sample (orig.ident),Sample_A_WT,nFeature_RNA,2463,956.0,7360.0,4154.0,4233.1762,1144.5089,3428.0,4983.0
Sample (orig.ident),Sample_A_WT,percent.mt,2463,0.0278048102321701,9.925330269959794,2.009604728481714,2.1695,1.1555,1.3117467260801159,2.8069002594891757
Sample (orig.ident),Sample_B_WT,nCount_RNA,9869,255.0,29968.0,7334.0,7778.4401,3792.122,5370.0,9678.0
Sample (orig.ident),Sample_B_WT,nFeature_RNA,9869,202.0,7363.0,3530.0,3501.4133,1143.6345,2882.0,4197.0
Sample (orig.ident),Sample_B_WT,percent.mt,9869,0.0,9.990937924784776,3.61267397098016,3.8346,1.8687,2.500698519139424,4.875252247294074
Sample (orig.ident),Sample_C_WT,nCount_RNA,2492,1459.0,30149.0,9027.0,10214.573,4938.4417,6729.75,12353.75
Sample (orig.ident),Sample_C_WT,nFeature_RNA,2492,1068.0,7333.0,3879.0,4011.7961,1136.8559,3191.0,4719.75
Sample (orig.ident),Sample_C_WT,percent.mt,2492,0.0238341145626439,8.516275548826647,2.026949667603507,2.2156,1.2086,1.2723735058727963,2.9111779451982156
Sample (orig.ident),Sample_D_WT,nCount_RNA,3155,350.0,30230.0,6864.0,7797.5024,4388.476,4908.0,9490.5
Sample (orig.ident),Sample_D_WT,nFeature_RNA,3155,264.0,7289.0,3318.0,3427.4095,1167.9559,2651.5,4119.5
Sample (orig.ident),Sample_D_WT,percent.mt,3155,0.0603864734299516,9.94733762434172,2.2705620832010163,2.6349,1.5954,1.4743785715519206,3.412110984842889
Sample (orig.ident),Sample_E_WT,nCount_RNA,2767,1766.0,31094.0,9985.0,11339.7445,5368.3407,7403.0,13889.0
Sample (orig.ident),Sample_E_WT,nFeature_RNA,2767,1306.0,7337.0,4201.0,4341.395,1146.2903,3481.5,5115.0
Sample (orig.ident),Sample_E_WT,percent.mt,2767,0.0162469536961819,8.94070775720647,2.0232785815294245,2.2423,1.2397,1.253350764875202,2.951560893391476
Sample (orig.ident),Sample_F_WT,nCount_RNA,3662,291.0,31845.0,6734.5,7797.3651,4429.0672,4842.25,9558.25
Sample (orig.ident),Sample_F_WT,nFeature_RNA,3662,214.0,7249.0,3264.5,3422.5161,1176.477,2623.5,4136.75
Sample (orig.ident),Sample_F_WT,percent.mt,3662,0.1235076163030053,9.988633134413186,2.2091389430106494,2.5634,1.5333,1.463460192998879,3.2194299479806023
Sample (orig.ident),Sample_G_1_ESC,nCount_RNA,6528,574.0,29928.0,10241.0,10514.4919,3512.8058,8377.75,12378.0
Sample (orig.ident),Sample_G_1_ESC,nFeature_RNA,6528,466.0,7369.0,3888.5,3886.6173,878.1266,3358.75,4430.0
Sample (orig.ident),Sample_G_1_ESC,percent.mt,6528,0.0589483612355576,9.966882195237345,4.394923859134963,4.6207,1.4135,3.703283973002921,5.205759825391616
Sample (orig.ident),Sample_G_2_ESC,nCount_RNA,9332,712.0,30928.0,7381.5,7994.6975,3351.5944,5794.0,9364.25
Sample (orig.ident),Sample_G_2_ESC,nFeature_RNA,9332,566.0,7465.0,3190.0,3279.1785,891.6335,2662.0,3763.0
Sample (orig.ident),Sample_G_2_ESC,percent.mt,9332,0.1145147437732607,9.95662832359042,4.254848612903092,4.4186,1.3569,3.508722449173475,5.149362986254626
Sample (orig.ident),Sample_H_DE,nCount_RNA,18120,786.0,28448.0,7392.5,8110.0996,3233.4695,6037.0,9321.25
Sample (orig.ident),Sample_H_DE,nFeature_RNA,18120,645.0,7498.0,3419.5,3555.5864,938.2292,2919.0,4046.0
Sample (orig.ident),Sample_H_DE,percent.mt,18120,0.0,9.755244755244757,2.046797943508921,2.1902,1.0522,1.521461623132708,2.6672833959404167
Sample (orig.ident),Sample_I_PFG,nCount_RNA,17664,569.0,31966.0,6407.5,7912.5513,4553.5984,4749.75,9693.25
Sample (orig.ident),Sample_I_PFG,nFeature_RNA,17664,429.0,7488.0,2900.0,3207.6857,1204.5686,2300.75,3885.0
Sample (orig.ident),Sample_I_PFG,percent.mt,17664,0.0,9.105139577354551,1.6940699879005776,1.7978,0.8422,1.2366986355604386,2.223518646293787
Sample (orig.ident),Sample_J_PP,nCount_RNA,10386,606.0,31240.0,7284.0,8626.3563,4786.3581,5230.25,10737.0
Sample (orig.ident),Sample_J_PP,nFeature_RNA,10386,508.0,7491.0,3395.5,3642.7949,1257.7451,2713.0,4398.75
Sample (orig.ident),Sample_J_PP,percent.mt,10386,0.0605693519079345,9.96845425867508,1.7387937711000596,1.9552,0.9165,1.3668256910711345,2.303367043699688
Sample (orig.ident),Sample_L_1_3DEC,nCount_RNA,12343,542.0,31431.0,9053.0,9960.0161,4367.1593,6984.5,12016.0
Sample (orig.ident),Sample_L_1_3DEC,nFeature_RNA,12343,424.0,7496.0,3791.0,3896.6168,1073.5927,3163.0,4525.0
Sample (orig.ident),Sample_L_1_3DEC,percent.mt,12343,0.0675675675675675,9.99330207635633,4.286466561348077,4.6156,1.8441,3.341824711152622,5.648676079602909
Sample (orig.ident),Sample_L_2_3DEC,nCount_RNA,12800,543.0,31026.0,7666.0,8458.9859,3782.5652,5860.5,10068.25
Sample (orig.ident),Sample_L_2_3DEC,nFeature_RNA,12800,444.0,7493.0,3378.0,3504.4002,1000.8837,2813.0,4054.0
Sample (orig.ident),Sample_L_2_3DEC,percent.mt,12800,0.0191607587660471,9.997506856145598,4.418563362581393,4.731,1.8357,3.4448355508928445,5.762155795547563
Genotype,ARX,nCount_RNA,2549,1321.0,31236.0,7684.0,8857.8325,4527.6239,5636.0,10850.0
Genotype,ARX,nFeature_RNA,2549,993.0,7477.0,3478.0,3624.1734,1187.5482,2748.0,4325.0
Genotype,ARX,percent.mt,2549,0.0590173609403432,9.917355371900827,2.372811107657238,2.9935,1.8568,1.613958560523446,4.080262568998956
Genotype,BCOR,nCount_RNA,1240,1189.0,30022.0,8293.0,9026.1274,4012.6061,6069.5,10914.5
Genotype,BCOR,nFeature_RNA,1240,825.0,7458.0,3545.5,3630.9379,1053.7469,2846.5,4305.25
Genotype,BCOR,percent.mt,1240,0.0675675675675675,9.89095377054216,3.077608307059106,3.246,1.756,1.7925887802367473,4.3771137827159565
Genotype,BMPR1A,nCount_RNA,925,2062.0,29928.0,7810.0,8659.0173,3628.9742,6122.0,10634.0
Genotype,BMPR1A,nFeature_RNA,925,1324.0,7278.0,3414.0,3534.293,956.6216,2858.0,4154.0
Genotype,BMPR1A,percent.mt,925,0.0705218617771509,9.914855478377772,2.9756537421100093,3.1373,1.4746,2.005522453131812,4.092434805060677
Genotype,FOXA1,nCount_RNA,5668,1090.0,30928.0,8002.0,9011.9585,4458.3904,5874.0,10906.75
Genotype,FOXA1,nFeature_RNA,5668,833.0,7490.0,3490.5,3642.1311,1152.4064,2805.75,4291.0
Genotype,FOXA1,percent.mt,5668,0.0,9.990917347865578,2.4128482987929605,2.8711,1.6818,1.6253641247465764,3.8172644968663794
Genotype,FOXA2,nCount_RNA,4896,689.0,30378.0,6643.0,7629.7355,3899.6543,4974.75,9264.0
Genotype,FOXA2,nFeature_RNA,4896,515.0,7489.0,2975.0,3129.5306,1103.3342,2319.75,3768.25
Genotype,FOXA2,percent.mt,4896,0.0418410041841004,9.89602906175623,1.856262653646735,2.3842,1.7297,1.156168234856822,3.207499731490974
Genotype,GATA4,nCount_RNA,1612,1185.0,29354.0,8084.5,8948.273,4059.7961,6131.0,10710.75
Genotype,GATA4,nFeature_RNA,1612,894.0,7385.0,3514.0,3646.013,1064.2901,2915.75,4241.75
Genotype,GATA4,percent.mt,1612,0.0,9.861554845580404,2.853709466265901,3.1292,1.6405,1.8591687231033958,4.161672529567284
Genotype,GATA4het,nCount_RNA,1957,574.0,30597.0,8149.0,8913.2672,4190.1079,6040.0,10611.0
Genotype,GATA4het,nFeature_RNA,1957,466.0,7493.0,3518.0,3615.1589,1074.5763,2882.0,4198.0
Genotype,GATA4het,percent.mt,1957,0.0395100750691426,9.940903334740398,2.63489250571282,2.964,1.6439,1.716613325574629,3.912667531344574
Genotype,GATA6,nCount_RNA,1500,569.0,30785.0,6833.0,7657.4867,3807.2646,4989.0,9353.5
Genotype,GATA6,nFeature_RNA,1500,429.0,7496.0,3126.0,3255.526,1048.3407,2498.5,3834.25
Genotype,GATA6,percent.mt,1500,0.0298953662182361,9.862940069873687,2.6304887477078824,2.9189,1.4744,1.8833095916429248,3.7530840446124403
Genotype,GATA6het,nCount_RNA,2266,1490.0,29500.0,7966.0,8799.4038,3922.1429,6055.25,10565.25
Genotype,GATA6het,nFeature_RNA,2266,1007.0,7394.0,3447.5,3568.0468,1028.2842,2833.0,4136.0
Genotype,GATA6het,percent.mt,2266,0.019481784531463,9.966882195237345,2.881478103442883,3.2074,1.6964,1.9321509854311814,4.266347710717626
Genotype,GLIS3,nCount_RNA,935,2197.0,29459.0,7903.0,8748.3262,3945.4384,5950.5,10650.5
Genotype,GLIS3,nFeature_RNA,935,1404.0,7491.0,3420.0,3540.6856,1024.68,2775.5,4148.0
Genotype,GLIS3,percent.mt,935,0.0235737859500235,9.7837646224743,3.407576622882163,3.5377,1.8234,2.116121941381978,4.504494651911709
Genotype,GSC,nCount_RNA,1652,1836.0,27042.0,8056.0,8821.6283,3665.8798,6241.0,10647.75
Genotype,GSC,nFeature_RNA,1652,1300.0,7304.0,3475.0,3579.4086,990.1623,2885.0,4150.25
Genotype,GSC,percent.mt,1652,0.0507872016251904,9.62288686605982,2.9024524990822043,3.1259,1.5597,1.9511838125510264,4.129022565455163
Genotype,HHEX,nCount_RNA,1214,1056.0,27804.0,7663.0,8310.5,3488.5268,5938.75,10048.0
Genotype,HHEX,nFeature_RNA,1214,692.0,7275.0,3288.5,3370.9292,960.4332,2735.0,3927.25
Genotype,HHEX,percent.mt,1214,0.0416059912627418,9.947506561679791,3.4326807775180574,3.462,1.7994,1.924404906211267,4.7238439578446645
Genotype,HHEXe,nCount_RNA,1487,874.0,28448.0,7643.0,8652.2522,4104.5749,5884.0,10182.5
Genotype,HHEXe,nFeature_RNA,1487,665.0,7485.0,3363.0,3497.2636,1081.0968,2741.0,4054.0
Genotype,HHEXe,percent.mt,1487,0.026888948642108,9.708481730642395,2.5646505663603336,2.9553,1.6975,1.636505866156041,4.092443670517474
Genotype,HHEXhet,nCount_RNA,328,1296.0,22213.0,8036.5,8529.1768,3511.7249,6114.25,10052.5
Genotype,HHEXhet,nFeature_RNA,328,873.0,6854.0,3392.0,3489.0549,962.8712,2812.25,3980.75
Genotype,HHEXhet,percent.mt,328,0.1083423618634886,9.288124698698375,3.0443964366386806,3.239,1.7355,1.846029133517355,4.348833359197226
Genotype,HNF4A,nCount_RNA,987,638.0,30449.0,7839.0,8603.8571,3948.424,5953.5,10182.5
Genotype,HNF4A,nFeature_RNA,987,509.0,7467.0,3466.0,3562.9797,1018.6986,2854.0,4080.5
Genotype,HNF4A,percent.mt,987,0.1362707245060186,9.937611408199643,2.745792736935341,3.0964,1.6463,1.83939782113857,4.127363164895903
Genotype,HNF4Ahet,nCount_RNA,829,721.0,26647.0,7872.0,8810.0326,3993.5067,6052.0,10691.0
Genotype,HNF4Ahet,nFeature_RNA,829,587.0,7379.0,3451.0,3611.4041,1048.7929,2866.0,4199.0
Genotype,HNF4Ahet,percent.mt,829,0.0,9.440836369396484,2.9960920538428137,3.135,1.6175,1.8476969776956575,4.177458434288579
Genotype,KDM2B,nCount_RNA,182,863.0,19639.0,7166.0,7781.3132,3100.0135,5664.25,9597.75
Genotype,KDM2B,nFeature_RNA,182,652.0,5796.0,3284.5,3314.6593,892.5112,2650.0,3866.0
Genotype,KDM2B,percent.mt,182,0.192789666473877,9.365389991613084,3.644866080351416,3.5435,1.6949,2.078676453065796,4.69375229486605
Genotype,MNX1,nCount_RNA,6451,842.0,29773.0,7435.0,8379.7349,4112.9336,5541.0,10099.5
Genotype,MNX1,nFeature_RNA,6451,645.0,7484.0,3368.0,3521.7422,1102.8426,2728.5,4140.0
Genotype,MNX1,percent.mt,6451,0.0,9.925600270544471,2.5816326530612246,3.078,1.8389,1.7005187477376755,4.063576412673326
Genotype,NANOGe-het,nCount_RNA,996,1057.0,28104.0,7658.5,8661.3333,3927.6298,6079.25,10407.75
Genotype,NANOGe-het,nFeature_RNA,996,808.0,7376.0,3375.0,3553.9849,1023.5705,2886.0,4070.25
Genotype,NANOGe-het,percent.mt,996,0.0879176086410449,9.77725674091442,3.143191720004695,3.3303,1.779,1.9097773070556705,4.393845107190147
Genotype,NEUROD1,nCount_RNA,2728,895.0,27641.0,8086.0,8733.9439,3625.2853,6210.25,10516.5
Genotype,NEUROD1,nFeature_RNA,2728,652.0,7456.0,3541.5,3630.5451,971.5339,2956.0,4222.5
Genotype,NEUROD1,percent.mt,2728,0.0361663652802893,9.925952045133991,3.113769481842638,3.3661,1.878,1.8276542035433228,4.5427793154396365
Genotype,NEUROG3,nCount_RNA,1543,1555.0,29371.0,7673.0,8660.1199,4186.5139,5798.0,10689.5
Genotype,NEUROG3,nFeature_RNA,1543,1061.0,7473.0,3362.0,3520.4848,1093.5307,2728.0,4149.5
Genotype,NEUROG3,percent.mt,1543,0.050709939148073,9.857035364936042,2.82998010170241,3.1516,1.7354,1.7547457166462554,4.233175331037435
Genotype,NKX2-2,nCount_RNA,5236,606.0,31966.0,7134.5,8156.2796,4196.0438,5160.75,9993.75
Genotype,NKX2-2,nFeature_RNA,5236,444.0,7496.0,3247.0,3416.1062,1126.2583,2585.75,4068.25
Genotype,NKX2-2,percent.mt,5236,0.0160462130937098,9.995808885163454,2.265786819906821,2.7016,1.569,1.5586464392595973,3.5825322548128398
Genotype,ONECUT1e,nCount_RNA,2436,1375.0,29399.0,7598.5,8404.7516,3951.3422,5516.5,10304.5
Genotype,ONECUT1e,nFeature_RNA,2436,1049.0,7495.0,3313.5,3417.9869,1056.6213,2635.75,4062.5
Genotype,ONECUT1e,percent.mt,2436,0.2320858717725558,9.95662832359042,3.0942316937960537,3.366,1.7793,1.9139786685114015,4.5235403749818195
Genotype,OTUD5,nCount_RNA,3440,964.0,31589.0,7765.0,8710.9584,4095.812,5822.5,10617.75
Genotype,OTUD5,nFeature_RNA,3440,688.0,7415.0,3419.5,3555.8407,1078.1077,2773.75,4202.0
Genotype,OTUD5,percent.mt,3440,0.0142959256611865,9.935437589670014,2.824728787983538,3.1355,1.7034,1.764218203146224,4.226385360961038
Genotype,PAX6,nCount_RNA,3237,719.0,31052.0,7448.0,8282.5517,4000.2012,5517.0,9922.0
Genotype,PAX6,nFeature_RNA,3237,577.0,7481.0,3354.0,3475.3852,1074.3802,2699.0,4073.0
Genotype,PAX6,percent.mt,3237,0.0497017892644135,9.926470588235292,2.9516994633273703,3.4655,2.0942,1.7782948313112847,4.697464613470213
Genotype,PBX1,nCount_RNA,1010,1305.0,26989.0,7790.5,8652.995,4011.2081,5851.0,10585.0
Genotype,PBX1,nFeature_RNA,1010,812.0,7146.0,3373.0,3491.7109,1055.8367,2757.75,4095.25
Genotype,PBX1,percent.mt,1010,0.3941908713692946,9.983730217423457,4.157927646835947,4.1897,2.1555,2.251449930882352,5.665684587439815
Genotype,PDX1,nCount_RNA,6207,542.0,31164.0,7365.0,8174.6557,3610.0497,5785.5,9637.5
Genotype,PDX1,nFeature_RNA,6207,424.0,7487.0,3351.0,3479.4289,984.783,2797.5,4014.5
Genotype,PDX1,percent.mt,6207,0.0278396436525612,9.997506856145598,4.04415783145699,4.3381,2.3602,2.350222150800967,5.876691064651384
Genotype,PDX1het,nCount_RNA,469,1838.0,30300.0,7580.0,8208.58,3517.4063,5777.0,9862.0
Genotype,PDX1het,nFeature_RNA,469,1232.0,7465.0,3298.0,3370.7996,949.6145,2694.0,3945.0
Genotype,PDX1het,percent.mt,469,0.6491633006347374,9.936047418499454,3.72330717284176,4.03,1.6924,2.9927007299270074,4.831383344803855
Genotype,PROSER1,nCount_RNA,2473,791.0,31431.0,8348.0,9256.6219,4242.231,6312.0,11318.0
Genotype,PROSER1,nFeature_RNA,2473,667.0,7456.0,3561.0,3683.6915,1088.4979,2943.0,4340.0
